epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.696,3.36188,5.34834,3.67566,0.31271,0.43233,0.28098,0.11706,3.96166,6.2813,4.33869,0.000475134,0.000475134,0.000475134
2,327.147,3.6085,4.64524,3.83601,0.36121,0.46569,0.32742,0.12742,3.95414,4.42204,4.42245,0.000942047,0.000942047,0.000942047
3,477.255,3.55572,4.50882,3.77516,0.29644,0.57168,0.33251,0.12415,4.0402,5.33355,4.30037,0.00139953,0.00139953,0.00139953
4,623.277,3.46804,4.35543,3.68894,0.38558,0.54865,0.44106,0.1721,3.94136,5.04183,4.25327,0.00138656,0.00138656,0.00138656
5,771.015,3.35266,4.12217,3.59564,0.4176,0.59238,0.42528,0.19597,3.68109,3.98211,3.9934,0.00137241,0.00137241,0.00137241
6,919.869,3.33108,3.93049,3.59385,0.48563,0.60528,0.50077,0.23315,3.58196,3.48928,3.90255,0.00135826,0.00135826,0.00135826
7,1080.9,3.29917,3.83615,3.55251,0.47565,0.57695,0.47609,0.21867,3.52574,4.13769,3.89487,0.00134412,0.00134412,0.00134412
8,1245.66,3.21529,3.73588,3.50382,0.44299,0.63655,0.50898,0.21987,3.6964,3.52063,3.98038,0.00132997,0.00132997,0.00132997
9,1410.94,3.20884,3.63862,3.45278,0.49805,0.58071,0.50127,0.21471,3.73993,3.42346,3.93921,0.00131582,0.00131582,0.00131582
10,1569.18,3.12835,3.48739,3.40018,0.54889,0.63253,0.56778,0.24301,3.81921,3.32839,4.02027,0.00130168,0.00130168,0.00130168
11,1714.36,3.13618,3.42944,3.40611,0.56384,0.64441,0.58509,0.26686,3.52007,3.15076,3.82519,0.00128753,0.00128753,0.00128753
12,1854.94,3.04343,3.28558,3.36099,0.60803,0.6503,0.60173,0.29356,3.34061,2.98113,3.73205,0.00127338,0.00127338,0.00127338
13,1978.92,3.09322,3.31211,3.36784,0.5821,0.65191,0.61588,0.30197,3.4091,2.83046,3.70273,0.00125923,0.00125923,0.00125923
14,2102.43,3.02007,3.1934,3.33137,0.58149,0.68263,0.60329,0.28054,3.44403,2.96205,3.71061,0.00124509,0.00124509,0.00124509
15,2227.13,3.00106,3.24778,3.31819,0.56846,0.69382,0.62258,0.29775,3.43928,2.8573,3.60082,0.00123094,0.00123094,0.00123094
16,2351.72,2.98378,3.10214,3.2891,0.58485,0.7075,0.63616,0.33834,3.17347,2.75953,3.57856,0.00121679,0.00121679,0.00121679
17,2476.98,2.95616,3.02536,3.28241,0.61454,0.71673,0.66163,0.35396,3.12092,2.74519,3.5069,0.00120265,0.00120265,0.00120265
18,2602.23,2.94023,3.01584,3.26021,0.53668,0.74139,0.61849,0.30131,3.24961,2.74577,3.56664,0.0011885,0.0011885,0.0011885
19,2727.75,2.98243,2.93916,3.30333,0.60121,0.70856,0.65036,0.3432,3.18202,2.76205,3.53544,0.00117435,0.00117435,0.00117435
20,2852.68,2.92399,2.88301,3.24487,0.62229,0.68421,0.65817,0.35207,3.15141,2.81519,3.52867,0.00116021,0.00116021,0.00116021
21,2976.71,2.89094,2.87029,3.20787,0.55695,0.67252,0.6183,0.32277,3.16579,2.62548,3.46776,0.00114606,0.00114606,0.00114606
22,3102.49,2.91083,2.86308,3.21489,0.59057,0.74263,0.66621,0.35539,3.13949,2.70704,3.49164,0.00113191,0.00113191,0.00113191
23,3228.11,2.89116,2.84638,3.22518,0.59141,0.71968,0.6665,0.3502,3.15281,2.62898,3.48984,0.00111776,0.00111776,0.00111776
24,3353.76,2.87933,2.86479,3.23349,0.61125,0.76039,0.68169,0.36094,3.1732,2.63975,3.52216,0.00110362,0.00110362,0.00110362
25,3478.69,2.8335,2.84998,3.19126,0.5891,0.72273,0.661,0.36228,3.08697,2.55931,3.40921,0.00108947,0.00108947,0.00108947
26,3602.77,2.83112,2.75282,3.17093,0.60329,0.75146,0.66246,0.35952,3.0468,2.56406,3.37786,0.00107532,0.00107532,0.00107532
27,3727.45,2.80853,2.82401,3.20416,0.62122,0.70023,0.68025,0.38894,2.95865,2.52789,3.35385,0.00106118,0.00106118,0.00106118
28,3852.69,2.82103,2.74199,3.14709,0.61756,0.74714,0.66481,0.35917,3.09626,2.67472,3.42933,0.00104703,0.00104703,0.00104703
29,3977.55,2.82071,2.71525,3.17993,0.65446,0.72647,0.70783,0.39255,2.98383,2.35088,3.35603,0.00103288,0.00103288,0.00103288
30,4102.02,2.75891,2.70726,3.11425,0.62689,0.74152,0.66811,0.37639,2.9222,2.48071,3.28715,0.00101873,0.00101873,0.00101873
31,4226.96,2.74496,2.66233,3.11171,0.64641,0.77905,0.69693,0.39241,2.93573,2.41367,3.28553,0.00100459,0.00100459,0.00100459
32,4351.74,2.7484,2.63328,3.11065,0.64245,0.72892,0.70001,0.3853,3.08556,2.40027,3.37287,0.00099044,0.00099044,0.00099044
33,4476.7,2.78549,2.64405,3.14175,0.62255,0.77862,0.69448,0.37142,2.99544,2.38371,3.33668,0.000976293,0.000976293,0.000976293
34,4602.23,2.74302,2.60452,3.14629,0.62407,0.77485,0.70376,0.38239,3.05119,2.44343,3.38432,0.000962146,0.000962146,0.000962146
35,4726.52,2.70379,2.54438,3.0796,0.63808,0.73906,0.69215,0.38469,3.0412,2.41994,3.38843,0.000947999,0.000947999,0.000947999
36,4851.66,2.68605,2.52815,3.09346,0.6758,0.73997,0.72498,0.41266,2.89305,2.25076,3.29389,0.000933851,0.000933851,0.000933851
37,4976.37,2.71905,2.53893,3.11238,0.64862,0.78714,0.7031,0.39371,2.93788,2.34132,3.26641,0.000919704,0.000919704,0.000919704
38,5100.88,2.69241,2.51754,3.08998,0.67307,0.73688,0.71019,0.408,2.88951,2.2202,3.34034,0.000905557,0.000905557,0.000905557
39,5226.56,2.70095,2.4661,3.06447,0.68054,0.769,0.73788,0.40373,3.0164,2.24623,3.33798,0.00089141,0.00089141,0.00089141
40,5351.87,2.72123,2.49978,3.09014,0.64172,0.76938,0.68529,0.38483,2.89209,2.35024,3.27829,0.000877263,0.000877263,0.000877263
41,5476.51,2.66948,2.45769,3.03884,0.64586,0.79689,0.71426,0.4132,2.81517,2.11669,3.17651,0.000863116,0.000863116,0.000863116
42,5601.02,2.67449,2.47389,3.05576,0.66863,0.77982,0.7063,0.40601,2.86104,2.17804,3.20305,0.000848969,0.000848969,0.000848969
43,5725.95,2.64386,2.42769,3.0478,0.66694,0.77364,0.71171,0.40699,2.89309,2.43447,3.27843,0.000834822,0.000834822,0.000834822
44,5851.36,2.65801,2.38165,3.06389,0.6571,0.79482,0.70875,0.39654,2.89491,2.35419,3.31651,0.000820675,0.000820675,0.000820675
45,5976.22,2.61403,2.42095,3.02261,0.6718,0.76823,0.71772,0.41436,2.91301,2.24658,3.28559,0.000806528,0.000806528,0.000806528
46,6100.79,2.59839,2.33818,2.99673,0.6779,0.76753,0.71474,0.40332,2.81718,2.23163,3.26536,0.00079238,0.00079238,0.00079238
47,6224.97,2.57927,2.32035,3.01798,0.64473,0.80581,0.71548,0.4106,2.91305,2.13956,3.29153,0.000778233,0.000778233,0.000778233
48,6348.47,2.57654,2.32703,3.00233,0.68287,0.78981,0.74563,0.44021,2.78961,2.17226,3.24753,0.000764086,0.000764086,0.000764086
49,6473.68,2.59724,2.38692,3.01397,0.67656,0.79811,0.73664,0.42208,2.85975,2.14686,3.24474,0.000749939,0.000749939,0.000749939
50,6598.01,2.5634,2.32738,2.99095,0.64718,0.79508,0.72072,0.42225,2.82489,2.13994,3.21342,0.000735792,0.000735792,0.000735792
51,6722.84,2.51984,2.33838,2.96621,0.67385,0.81415,0.72917,0.41801,2.84783,2.22321,3.26976,0.000721645,0.000721645,0.000721645
52,6846.89,2.55633,2.31568,2.98701,0.67139,0.79346,0.74666,0.44977,2.71706,2.06115,3.15239,0.000707498,0.000707498,0.000707498
53,6972.26,2.51434,2.25845,2.9687,0.66579,0.79904,0.73948,0.43782,2.76523,2.176,3.17097,0.000693351,0.000693351,0.000693351
54,7096.57,2.53143,2.27051,2.96643,0.68415,0.77634,0.70916,0.40822,2.84506,2.13739,3.25602,0.000679204,0.000679204,0.000679204
55,7220.87,2.51088,2.20614,2.95076,0.69074,0.7949,0.72753,0.42031,2.8186,2.07001,3.24252,0.000665057,0.000665057,0.000665057
