epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.0424,4.47374,6.32867,4.38014,0.40469,0.20436,0.16655,0.0521,4.91263,4.86674,5.09303,0.000368797,0.000368797,0.000368797
2,144.39,4.37471,5.19599,4.14241,0.37181,0.23876,0.15315,0.05003,4.45387,5.19681,4.62998,0.000731813,0.000731813,0.000731813
3,193.082,4.41284,5.06918,4.16636,0.44676,0.28149,0.19628,0.06532,4.69926,4.94123,5.02097,0.0010875,0.0010875,0.0010875
4,241.026,4.35392,4.94237,4.09279,0.38038,0.28065,0.18861,0.06394,4.72638,4.62981,4.83821,0.001078,0.001078,0.001078
5,289.921,4.29753,4.78952,4.03335,0.48696,0.30405,0.25633,0.09327,4.48152,4.28742,4.63742,0.001067,0.001067,0.001067
6,338.591,4.21385,4.73174,4.04283,0.44627,0.27358,0.18003,0.05811,4.98212,4.99657,5.00405,0.00105601,0.00105601,0.00105601
7,389.257,4.24443,4.64394,3.97402,0.51163,0.27722,0.2259,0.07543,4.6219,4.58032,4.70575,0.00104501,0.00104501,0.00104501
8,438.211,4.12737,4.43593,3.89699,0.52661,0.34692,0.30688,0.11793,4.32424,3.8349,4.48077,0.00103401,0.00103401,0.00103401
9,488.452,4.09107,4.28852,3.88343,0.51578,0.36963,0.30668,0.12552,4.17941,3.92252,4.32939,0.00102301,0.00102301,0.00102301
10,538.104,4.04356,4.14196,3.82295,0.51745,0.34569,0.29815,0.12041,4.17867,4.02602,4.26994,0.00101201,0.00101201,0.00101201
11,588.618,4.00295,4.13004,3.80299,0.59083,0.38827,0.35484,0.15102,4.13246,3.68839,4.25226,0.00100101,0.00100101,0.00100101
12,637.396,4.00838,4.07264,3.80894,0.56538,0.39048,0.35948,0.1457,4.13742,3.53841,4.22918,0.000990012,0.000990012,0.000990012
13,686.882,3.90325,3.98137,3.74035,0.54268,0.33391,0.30222,0.1216,4.19987,3.80304,4.30328,0.000979013,0.000979013,0.000979013
14,735.575,3.9104,3.9202,3.77861,0.63453,0.37063,0.37657,0.15937,4.01598,3.44689,4.119,0.000968014,0.000968014,0.000968014
15,784.486,3.87731,3.93976,3.67946,0.57943,0.41847,0.36721,0.15642,4.04992,3.43004,4.16109,0.000957015,0.000957015,0.000957015
16,832.897,3.8512,3.87422,3.66707,0.53814,0.33785,0.28356,0.10016,4.60399,4.07734,4.72866,0.000946016,0.000946016,0.000946016
17,882.094,3.8452,3.76887,3.67911,0.62454,0.40271,0.39204,0.15968,4.08767,3.40404,4.12423,0.000935018,0.000935018,0.000935018
18,930.542,3.76357,3.70175,3.61725,0.56965,0.41873,0.3898,0.16227,4.01755,3.48832,4.11226,0.000924019,0.000924019,0.000924019
19,979.345,3.78582,3.64969,3.62195,0.63364,0.39595,0.37501,0.15418,4.13881,3.45186,4.21268,0.00091302,0.00091302,0.00091302
20,1026.74,3.7551,3.66808,3.60873,0.65364,0.39733,0.44246,0.17667,3.9748,3.27176,4.05469,0.000902021,0.000902021,0.000902021
21,1077.38,3.74321,3.58378,3.58119,0.53903,0.33136,0.29651,0.09786,4.94939,4.17304,5.03352,0.000891022,0.000891022,0.000891022
22,1126.65,3.78373,3.66234,3.61887,0.64737,0.40091,0.42197,0.17585,4.03682,3.33558,4.09342,0.000880023,0.000880023,0.000880023
23,1175.71,3.70514,3.51102,3.57158,0.6188,0.42428,0.39184,0.16823,4.00569,3.21369,4.03863,0.000869024,0.000869024,0.000869024
24,1223.76,3.66248,3.44197,3.54057,0.65996,0.42997,0.4418,0.19039,3.99933,3.11526,4.0259,0.000858025,0.000858025,0.000858025
25,1273.13,3.64439,3.33372,3.48963,0.65646,0.43266,0.44516,0.1868,3.97029,3.13603,4.07051,0.000847026,0.000847026,0.000847026
26,1322.75,3.64288,3.42274,3.53226,0.65715,0.42361,0.43182,0.1808,3.99799,3.2289,4.05494,0.000836027,0.000836027,0.000836027
27,1371.75,3.70233,3.46932,3.58493,0.65959,0.4077,0.4615,0.20719,3.85449,3.08255,3.95756,0.000825029,0.000825029,0.000825029
28,1420.39,3.60684,3.36154,3.49171,0.6519,0.43285,0.48177,0.19338,4.08123,3.09403,4.16842,0.00081403,0.00081403,0.00081403
29,1469.54,3.63819,3.42874,3.51742,0.49268,0.49325,0.45439,0.19229,3.96093,3.14602,4.06139,0.000803031,0.000803031,0.000803031
30,1518.79,3.57208,3.31981,3.46987,0.6888,0.42242,0.48277,0.20928,3.91182,2.94589,4.00253,0.000792032,0.000792032,0.000792032
31,1568.62,3.55992,3.20869,3.45518,0.65297,0.44677,0.44441,0.19031,3.92986,2.97529,3.99056,0.000781033,0.000781033,0.000781033
32,1617.14,3.54968,3.22052,3.44145,0.67754,0.39597,0.42523,0.18121,3.93026,3.10068,4.1183,0.000770034,0.000770034,0.000770034
33,1666,3.49242,3.18305,3.40349,0.68176,0.41632,0.4586,0.19542,3.98486,2.96824,4.0959,0.000759035,0.000759035,0.000759035
34,1714.83,3.54252,3.14899,3.42859,0.65664,0.45161,0.47506,0.19708,3.95477,2.98983,4.05325,0.000748036,0.000748036,0.000748036
35,1763.8,3.47724,3.19836,3.42484,0.65073,0.45554,0.47361,0.21199,3.87409,2.98788,4.00965,0.000737037,0.000737037,0.000737037
36,1811.94,3.42772,3.10829,3.38686,0.67217,0.43812,0.46601,0.20585,3.8575,2.96569,3.97746,0.000726038,0.000726038,0.000726038
37,1860.84,3.44602,3.06868,3.3859,0.69421,0.46491,0.4792,0.2132,3.86748,2.87455,3.92686,0.00071504,0.00071504,0.00071504
38,1909.2,3.42261,3.06399,3.39888,0.46924,0.54308,0.50188,0.19699,4.02342,3.08077,4.13459,0.000704041,0.000704041,0.000704041
39,1958,3.4285,3.08744,3.37586,0.46828,0.52209,0.48238,0.20438,3.98375,2.98857,4.12207,0.000693042,0.000693042,0.000693042
40,2006.32,3.4243,3.03664,3.37484,0.71904,0.44991,0.50054,0.22942,3.74545,2.76468,3.85675,0.000682043,0.000682043,0.000682043
41,2055.12,3.34634,2.99297,3.32249,0.47333,0.57336,0.49269,0.21486,3.87476,2.88205,3.95781,0.000671044,0.000671044,0.000671044
42,2104.29,3.30614,2.88616,3.31089,0.70851,0.48285,0.49473,0.21844,3.80833,2.81865,3.91582,0.000660045,0.000660045,0.000660045
43,2152.74,3.32051,2.86805,3.27288,0.52417,0.52817,0.50949,0.21987,3.94171,2.77669,4.01017,0.000649046,0.000649046,0.000649046
44,2201.77,3.35356,2.93438,3.33498,0.48592,0.52146,0.52069,0.23215,3.82122,2.77071,3.92516,0.000638047,0.000638047,0.000638047
45,2250.77,3.30658,2.90437,3.28306,0.6667,0.45126,0.4852,0.21356,3.83834,2.82893,3.90252,0.000627048,0.000627048,0.000627048
46,2300.57,3.25589,2.84688,3.27187,0.53795,0.55495,0.52933,0.23246,3.86914,2.74494,3.94938,0.000616049,0.000616049,0.000616049
47,2348.56,3.23332,2.78017,3.24112,0.49828,0.55077,0.5255,0.2351,3.795,2.75688,3.87542,0.000605051,0.000605051,0.000605051
48,2397.72,3.26896,2.81696,3.25077,0.7322,0.47506,0.50826,0.23001,3.78919,2.70116,3.88741,0.000594052,0.000594052,0.000594052
49,2446.26,3.26736,2.77265,3.27491,0.59418,0.59519,0.54809,0.24105,3.85666,2.69022,3.95567,0.000583053,0.000583053,0.000583053
50,2494.46,3.18803,2.68302,3.21667,0.71377,0.47134,0.50746,0.2285,3.80023,2.71509,3.8841,0.000572054,0.000572054,0.000572054
51,2542.55,3.1946,2.75988,3.25283,0.70921,0.48541,0.51277,0.23726,3.74081,2.70712,3.82881,0.000561055,0.000561055,0.000561055
52,2590.7,3.1686,2.68622,3.19791,0.71382,0.46498,0.51869,0.23802,3.70885,2.7364,3.85503,0.000550056,0.000550056,0.000550056
53,2639.04,3.14713,2.72904,3.2312,0.73615,0.46057,0.53618,0.2368,3.75459,2.72889,3.89797,0.000539057,0.000539057,0.000539057
54,2686.54,3.18513,2.73605,3.1823,0.72695,0.46751,0.5055,0.23038,3.80638,2.72621,3.90718,0.000528058,0.000528058,0.000528058
55,2735.5,3.09324,2.65134,3.17029,0.57897,0.56557,0.55172,0.23842,3.77141,2.63624,3.87518,0.000517059,0.000517059,0.000517059
56,2783.95,3.15213,2.60665,3.16266,0.55575,0.52552,0.52289,0.2331,3.76852,2.68292,3.87881,0.00050606,0.00050606,0.00050606
57,2832.24,3.11592,2.67356,3.15161,0.71197,0.47935,0.51392,0.23315,3.7776,2.69551,3.86441,0.000495062,0.000495062,0.000495062
58,2887.56,3.12243,2.65585,3.15579,0.75268,0.47541,0.53131,0.2381,3.77746,2.69913,3.90404,0.000484063,0.000484063,0.000484063
59,2961.29,3.0663,2.54921,3.09498,0.6712,0.51546,0.53871,0.23682,3.797,2.69593,3.91255,0.000473064,0.000473064,0.000473064
60,3019.99,3.04637,2.53148,3.11852,0.72944,0.45585,0.50292,0.22707,3.81351,2.72202,3.93159,0.000462065,0.000462065,0.000462065
61,3080.66,3.07096,2.59461,3.12371,0.64595,0.52946,0.53436,0.23049,3.89324,2.75764,4.06486,0.000451066,0.000451066,0.000451066
62,3138.47,3.01445,2.46994,3.06988,0.75401,0.45733,0.53644,0.24291,3.80043,2.72086,3.92383,0.000440067,0.000440067,0.000440067
63,3195.08,2.9779,2.44465,3.05221,0.73004,0.49151,0.54425,0.23508,3.90811,2.65826,3.99227,0.000429068,0.000429068,0.000429068
64,3251.23,2.99721,2.46571,3.08585,0.7196,0.49477,0.51314,0.22971,3.86812,2.65309,3.96849,0.000418069,0.000418069,0.000418069
65,3307.4,2.96395,2.38076,3.03403,0.72361,0.47371,0.53739,0.23097,3.88054,2.73497,4.02454,0.00040707,0.00040707,0.00040707
66,3363.39,2.94717,2.41433,3.04089,0.7439,0.47807,0.53423,0.23762,3.76825,2.64732,3.86689,0.000396071,0.000396071,0.000396071
67,3419.57,2.93183,2.41706,3.02422,0.54354,0.57171,0.54356,0.24295,3.78764,2.66521,3.88686,0.000385073,0.000385073,0.000385073
68,3475.75,2.91116,2.41565,3.02267,0.75903,0.48523,0.53964,0.246,3.75397,2.59176,3.92499,0.000374074,0.000374074,0.000374074
69,3534.72,2.89849,2.31946,2.99379,0.72846,0.50844,0.52846,0.2452,3.75295,2.54092,3.88228,0.000363075,0.000363075,0.000363075
70,3598.95,2.8797,2.30556,2.99506,0.58844,0.52831,0.5537,0.24529,3.82485,2.61116,3.94449,0.000352076,0.000352076,0.000352076
71,3664.29,2.85166,2.28625,2.97426,0.64711,0.50949,0.56716,0.25959,3.75055,2.4958,3.9075,0.000341077,0.000341077,0.000341077
72,3730.59,2.85366,2.25502,2.97146,0.55588,0.55005,0.53426,0.24861,3.79029,2.58245,3.95235,0.000330078,0.000330078,0.000330078
73,3797.09,2.83268,2.29093,2.97264,0.58597,0.50609,0.54127,0.24534,3.79385,2.63672,3.91672,0.000319079,0.000319079,0.000319079
74,3862.92,2.82007,2.25049,2.93351,0.43922,0.53705,0.52928,0.2413,3.78743,2.57416,3.94181,0.00030808,0.00030808,0.00030808
75,3927.8,2.7913,2.19433,2.92722,0.50801,0.55024,0.52775,0.23984,3.82299,2.61202,3.98325,0.000297081,0.000297081,0.000297081
76,3992.46,2.80592,2.2166,2.93824,0.74668,0.4627,0.50934,0.22694,3.91956,2.72136,4.11954,0.000286083,0.000286083,0.000286083
77,4057.81,2.77192,2.25235,2.92302,0.65438,0.52321,0.55829,0.25428,3.79549,2.59945,3.94166,0.000275084,0.000275084,0.000275084
78,4121.78,2.73114,2.19833,2.90531,0.57091,0.56602,0.56374,0.25186,3.78752,2.53239,3.96965,0.000264085,0.000264085,0.000264085
79,4185.7,2.79144,2.23999,2.92252,0.59035,0.53411,0.5517,0.24343,3.81626,2.65667,4.0057,0.000253086,0.000253086,0.000253086
80,4249.97,2.73041,2.17489,2.89661,0.68896,0.55949,0.58195,0.25353,3.74781,2.5113,3.93168,0.000242087,0.000242087,0.000242087
81,4312.97,2.69286,2.14028,2.87339,0.57621,0.56431,0.54574,0.24357,3.80451,2.59046,3.98956,0.000231088,0.000231088,0.000231088
82,4376.61,2.6864,2.12442,2.86107,0.51407,0.52652,0.50436,0.22322,3.90573,2.62152,4.10574,0.000220089,0.000220089,0.000220089
83,4440.84,2.68132,2.18536,2.86342,0.75698,0.45919,0.51709,0.23001,3.93581,2.65742,4.15546,0.00020909,0.00020909,0.00020909
