epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.6552,4.47374,6.32867,4.38014,0.40469,0.20436,0.16655,0.0521,4.91263,4.86674,5.09303,0.000368797,0.000368797,0.000368797
2,144.549,4.39878,5.16112,4.1226,0.36614,0.23729,0.1468,0.04642,4.8334,5.4311,4.96579,0.000716263,0.000716263,0.000716263
3,203.476,4.40455,5.00937,4.11997,0.44871,0.26683,0.23363,0.07857,4.43578,4.51082,4.55653,0.00104082,0.00104082,0.00104082
4,264.075,4.31328,4.87662,4.05226,0.3942,0.27923,0.18773,0.06446,4.63669,4.66893,4.66455,0.00100789,0.00100789,0.00100789
5,323.919,4.2779,4.78621,4.01278,0.41001,0.30373,0.22424,0.08412,4.38034,4.48849,4.46835,0.000973514,0.000973514,0.000973514
6,383.957,4.2344,4.7297,4.0361,0.4826,0.29533,0.26828,0.10657,4.24218,4.21038,4.33061,0.000939142,0.000939142,0.000939142
7,443.898,4.18469,4.58217,3.97003,0.4943,0.32864,0.27024,0.10614,4.24601,4.44754,4.39363,0.000904771,0.000904771,0.000904771
8,503.683,4.11484,4.40685,3.8871,0.53796,0.32401,0.27917,0.10423,4.38006,3.9237,4.43214,0.000870399,0.000870399,0.000870399
9,563.253,4.01465,4.16171,3.8102,0.55876,0.34995,0.32322,0.1293,4.2045,3.70434,4.32761,0.000836027,0.000836027,0.000836027
10,625.463,4.01197,4.12087,3.80644,0.46623,0.39108,0.3006,0.12341,4.16685,3.91822,4.28671,0.000801656,0.000801656,0.000801656
11,686.471,3.95416,4.04794,3.76989,0.58714,0.36787,0.3462,0.14696,4.08277,3.58422,4.20448,0.000767284,0.000767284,0.000767284
12,747.424,3.9521,3.98564,3.75328,0.54281,0.39383,0.35463,0.14468,4.06393,3.50201,4.12327,0.000732913,0.000732913,0.000732913
13,808.971,3.86429,3.8623,3.69453,0.61554,0.38209,0.38438,0.15754,4.06921,3.41961,4.16658,0.000698541,0.000698541,0.000698541
14,870.542,3.79081,3.74451,3.67718,0.60123,0.41357,0.38772,0.16901,3.9358,3.29442,4.03471,0.00066417,0.00066417,0.00066417
15,930.604,3.7838,3.75522,3.62693,0.63667,0.41653,0.41445,0.18164,3.89248,3.36763,4.02651,0.000629798,0.000629798,0.000629798
16,991.238,3.75892,3.69288,3.59618,0.61063,0.41992,0.41261,0.17563,3.91621,3.26716,3.9913,0.000595427,0.000595427,0.000595427
17,1051.92,3.70746,3.55597,3.56026,0.61303,0.42405,0.4404,0.1831,4.00566,3.2617,4.06198,0.000561055,0.000561055,0.000561055
18,1114.84,3.61622,3.48178,3.50295,0.60857,0.41427,0.42927,0.17973,3.97772,3.21894,4.01891,0.000526683,0.000526683,0.000526683
19,1175.24,3.62957,3.41867,3.49487,0.62254,0.39514,0.40614,0.17295,3.97326,3.23118,4.02129,0.000492312,0.000492312,0.000492312
20,1233.42,3.63333,3.42674,3.51179,0.67203,0.42056,0.4436,0.18724,3.96273,3.14259,4.04105,0.00045794,0.00045794,0.00045794
21,1291.52,3.54566,3.29417,3.45483,0.64588,0.42844,0.43002,0.18359,3.96624,3.20121,4.02452,0.000423569,0.000423569,0.000423569
22,1350.06,3.56647,3.34398,3.47445,0.66173,0.44224,0.44628,0.19237,3.96185,3.11633,4.01256,0.000389197,0.000389197,0.000389197
23,1415.63,3.59504,2.92138,3.64859,0.66145,0.43399,0.42765,0.18749,3.91566,3.10069,4.00038,0.000354826,0.000354826,0.000354826
24,1472.89,3.48273,2.78355,3.5925,0.65243,0.43798,0.44108,0.19057,4.02175,3.15619,4.13738,0.000320454,0.000320454,0.000320454
25,1520.85,3.36105,2.70869,3.54134,0.67357,0.443,0.47162,0.21474,3.83868,2.91292,3.93264,0.000286083,0.000286083,0.000286083
26,1582.64,3.31574,2.54336,3.46515,0.66908,0.44637,0.46181,0.21081,3.79952,2.91701,3.91025,0.000251711,0.000251711,0.000251711
27,1629.5,3.20553,2.50729,3.37453,0.58645,0.57127,0.52333,0.23136,3.73329,2.80713,3.83142,0.000217339,0.000217339,0.000217339
28,1677.93,3.1714,2.42852,3.33444,0.7046,0.47188,0.50285,0.23662,3.70997,2.73351,3.82164,0.000182968,0.000182968,0.000182968
29,1728.02,3.11831,2.37073,3.30767,0.58833,0.53738,0.53608,0.24524,3.73035,2.81441,3.83497,0.000148596,0.000148596,0.000148596
30,1776.85,3.06892,2.31938,3.25188,0.70535,0.47611,0.50521,0.23771,3.71791,2.73989,3.81305,0.000114225,0.000114225,0.000114225
31,1823.39,2.99133,2.20747,3.22446,0.74289,0.44295,0.53655,0.24716,3.65525,2.74965,3.77853,7.98531e-05,7.98531e-05,7.98531e-05
32,1870.86,2.94527,2.23059,3.17545,0.71804,0.46903,0.52866,0.25248,3.60131,2.6934,3.71988,4.54816e-05,4.54816e-05,4.54816e-05
