epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.236,3.46649,5.73737,3.81058,0.29903,0.3064,0.24603,0.10072,4.08419,7.5631,4.37901,0.000475134,0.000475134,0.000475134
2,257.168,3.67144,5.04146,3.92328,0.28877,0.3243,0.23453,0.09397,4.29233,5.73158,4.57607,0.000945187,0.000945187,0.000945187
3,375.437,3.60459,5.01106,3.85606,0.32119,0.41919,0.27573,0.1138,3.90974,5.93045,4.17331,0.00140895,0.00140895,0.00140895
4,493.724,3.52797,4.75828,3.79,0.40285,0.47236,0.38769,0.16377,3.78425,5.08938,4.21001,0.00140071,0.00140071,0.00140071
5,612.642,3.43739,4.56904,3.73034,0.39446,0.50697,0.39019,0.17125,3.64996,4.44991,4.06058,0.00139127,0.00139127,0.00139127
6,731.466,3.39131,4.34244,3.66323,0.42323,0.52468,0.39729,0.17446,3.65406,4.13439,3.97563,0.00138184,0.00138184,0.00138184
7,850.262,3.39209,4.26748,3.66011,0.40302,0.50494,0.36103,0.14879,3.87537,4.68365,4.20659,0.00137241,0.00137241,0.00137241
8,969.201,3.28716,4.10042,3.60835,0.43199,0.58739,0.45469,0.18823,3.82469,3.8688,4.11187,0.00136298,0.00136298,0.00136298
9,1086.98,3.30265,4.03177,3.57593,0.46067,0.5423,0.46302,0.19801,3.81677,3.95929,4.10211,0.00135355,0.00135355,0.00135355
10,1203.28,3.25719,3.9371,3.54176,0.464,0.52717,0.43227,0.18844,3.76354,3.81858,3.97957,0.00134412,0.00134412,0.00134412
11,1319.32,3.19348,3.77543,3.481,0.45249,0.56288,0.42803,0.1816,3.73849,3.91838,3.98453,0.00133469,0.00133469,0.00133469
12,1435.35,3.13252,3.6219,3.46189,0.49337,0.59998,0.51096,0.24234,3.52176,3.55039,3.89963,0.00132525,0.00132525,0.00132525
13,1552,3.21013,3.67939,3.4999,0.52972,0.58431,0.53223,0.25554,3.46296,3.42187,3.87702,0.00131582,0.00131582,0.00131582
14,1669.07,3.1053,3.56481,3.43859,0.51365,0.61368,0.50542,0.23382,3.50691,3.42338,3.83197,0.00130639,0.00130639,0.00130639
15,1784.54,3.11006,3.58482,3.4244,0.53707,0.61577,0.54493,0.25692,3.49279,3.22704,3.87338,0.00129696,0.00129696,0.00129696
16,1901.27,3.1112,3.44981,3.40535,0.52896,0.63366,0.57048,0.28001,3.36928,3.18258,3.70485,0.00128753,0.00128753,0.00128753
17,2016.94,3.07489,3.40471,3.39482,0.5776,0.59479,0.57597,0.29319,3.28127,3.23389,3.68729,0.0012781,0.0012781,0.0012781
18,2133.71,3.03599,3.3635,3.37513,0.53371,0.66107,0.57445,0.28018,3.37327,3.12926,3.73809,0.00126867,0.00126867,0.00126867
19,2249.24,3.08146,3.32447,3.42005,0.51625,0.66524,0.57029,0.27275,3.41788,3.19371,3.77028,0.00125923,0.00125923,0.00125923
20,2365.16,3.0153,3.26728,3.3501,0.58029,0.64464,0.59271,0.3049,3.22481,3.06129,3.63464,0.0012498,0.0012498,0.0012498
21,2481.9,3.0133,3.23462,3.34836,0.56496,0.65725,0.5795,0.30102,3.23467,2.99234,3.59675,0.00124037,0.00124037,0.00124037
22,2597.34,3.01764,3.23531,3.33137,0.61309,0.63511,0.60862,0.32594,3.15577,2.93753,3.67194,0.00123094,0.00123094,0.00123094
23,2713.12,2.9845,3.20047,3.33068,0.54564,0.63125,0.56722,0.28022,3.35856,3.12376,3.70827,0.00122151,0.00122151,0.00122151
24,2828.56,2.99231,3.23324,3.3446,0.60676,0.64019,0.62728,0.33141,3.18174,2.89885,3.58894,0.00121208,0.00121208,0.00121208
25,2944.95,2.91395,3.17033,3.27018,0.54119,0.65701,0.59317,0.32313,3.16516,2.9273,3.56831,0.00120265,0.00120265,0.00120265
26,3060.28,2.9346,3.06186,3.28321,0.55191,0.68999,0.59336,0.30683,3.13061,3.00351,3.51811,0.00119322,0.00119322,0.00119322
27,3175.83,2.90712,3.11106,3.30549,0.59229,0.68544,0.62702,0.33795,3.12193,2.86872,3.57525,0.00118378,0.00118378,0.00118378
