epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.241,4.43733,5.57571,4.51793,0.25764,0.23742,0.14467,0.04419,4.88534,5.61709,5.12189,0.00036934,0.00036934,0.00036934
2,322.13,4.38552,5.02449,4.37398,0.31836,0.23318,0.19051,0.06182,4.77529,5.97168,5.25599,0.000728232,0.000728232,0.000728232
3,454.502,4.33561,5.06478,4.33284,0.28714,0.31334,0.23349,0.07344,4.65212,4.81109,5.09519,0.00107567,0.00107567,0.00107567
4,572.2,4.24896,4.98433,4.25403,0.34194,0.32124,0.27023,0.0952,4.35987,4.52319,4.56795,0.00105944,0.00105944,0.00105944
5,692.012,4.15087,4.72104,4.14717,0.37715,0.37791,0.31013,0.11939,4.17163,4.23743,4.51698,0.00104226,0.00104226,0.00104226
6,811.971,4.12394,4.55897,4.16598,0.38158,0.4092,0.34631,0.12468,4.30559,4.15865,4.65688,0.00102507,0.00102507,0.00102507
7,932.767,4.12654,4.50438,4.1341,0.37918,0.43386,0.3791,0.14628,4.14102,3.92361,4.44907,0.00100789,0.00100789,0.00100789
8,1053.47,4.04148,4.25784,4.037,0.43371,0.42389,0.38446,0.1503,4.10601,3.78847,4.41997,0.0009907,0.0009907,0.0009907
9,1175.93,3.99463,4.19226,4.00637,0.43894,0.47704,0.42369,0.17393,3.99234,3.55598,4.29691,0.000973514,0.000973514,0.000973514
10,1298.99,3.96419,3.98156,3.95088,0.47603,0.47863,0.45523,0.18231,3.98943,3.48303,4.2845,0.000956328,0.000956328,0.000956328
11,1421.04,3.85935,3.96161,3.90037,0.63757,0.40481,0.44795,0.19157,3.86583,3.48225,4.23846,0.000939142,0.000939142,0.000939142
12,1542.14,3.82409,3.82782,3.89295,0.47056,0.49341,0.46193,0.18581,3.97013,3.37242,4.32835,0.000921956,0.000921956,0.000921956
13,1663.2,3.79881,3.85859,3.87554,0.48378,0.49409,0.46738,0.20292,3.86426,3.23979,4.1832,0.000904771,0.000904771,0.000904771
14,1784.7,3.7536,3.70981,3.82815,0.48167,0.53127,0.49355,0.20134,3.95122,3.23748,4.32101,0.000887585,0.000887585,0.000887585
15,1905.78,3.74765,3.72635,3.81694,0.4847,0.54144,0.50791,0.22055,3.81566,3.17729,4.16692,0.000870399,0.000870399,0.000870399
16,2026.69,3.69008,3.58069,3.77076,0.48764,0.52974,0.51631,0.21702,3.79764,3.11421,4.1375,0.000853213,0.000853213,0.000853213
17,2148.09,3.70049,3.50913,3.75025,0.4879,0.53202,0.51047,0.23233,3.7552,3.04374,4.12194,0.000836027,0.000836027,0.000836027
18,2269.17,3.60795,3.46823,3.74445,0.55366,0.57433,0.57291,0.25742,3.66138,2.92148,4.06964,0.000818842,0.000818842,0.000818842
19,2390.2,3.61682,3.45953,3.72473,0.57123,0.55162,0.5537,0.24618,3.81122,2.98332,4.1748,0.000801656,0.000801656,0.000801656
20,2511.41,3.61162,3.37674,3.70998,0.57986,0.52431,0.54948,0.2476,3.78237,2.90507,4.18365,0.00078447,0.00078447,0.00078447
21,2631.86,3.5478,3.34379,3.67177,0.55985,0.57274,0.57548,0.267,3.6474,2.8033,4.04846,0.000767284,0.000767284,0.000767284
22,2752.52,3.48499,3.2051,3.64211,0.60749,0.55586,0.58629,0.27263,3.66312,2.84109,4.04576,0.000750099,0.000750099,0.000750099
23,2873.37,3.56166,3.23931,3.66785,0.58116,0.5819,0.59334,0.28516,3.59578,2.72601,3.99021,0.000732913,0.000732913,0.000732913
