epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.896,3.24226,3.63997,3.37709,0.60312,0.60584,0.60506,0.2583,3.55385,3.01026,3.79471,0.00036934,0.00036934,0.00036934
2,246.648,3.3868,3.12308,3.42594,0.63122,0.5924,0.63322,0.29608,3.34795,2.85512,3.61596,0.000732351,0.000732351,0.000732351
3,360.502,3.40301,3.08648,3.45877,0.51689,0.62347,0.5914,0.28584,3.31459,2.95033,3.60351,0.00108803,0.00108803,0.00108803
4,471.601,3.37795,2.96756,3.41887,0.67149,0.65178,0.70404,0.32746,3.30138,2.46601,3.57567,0.001078,0.001078,0.001078
5,583.506,3.27052,2.83717,3.35881,0.70898,0.69848,0.74227,0.35524,3.21341,2.12919,3.49673,0.001067,0.001067,0.001067
6,696.307,3.23759,2.66254,3.32503,0.73421,0.72723,0.77074,0.37922,3.15228,2.03268,3.43313,0.00105601,0.00105601,0.00105601
7,810.323,3.17712,2.56624,3.28513,0.74985,0.73026,0.80502,0.40766,3.08131,1.92525,3.38725,0.00104501,0.00104501,0.00104501
8,924.598,3.13043,2.4283,3.22846,0.7483,0.8032,0.84012,0.43545,3.02248,1.7677,3.30818,0.00103401,0.00103401,0.00103401
9,1039.15,3.10717,2.3767,3.2081,0.79321,0.75751,0.83789,0.43453,2.992,1.78707,3.28916,0.00102301,0.00102301,0.00102301
10,1153.69,3.0956,2.29807,3.18094,0.80102,0.82499,0.8642,0.45725,2.96323,1.70262,3.26922,0.00101201,0.00101201,0.00101201
11,1269.94,3.03986,2.23947,3.17528,0.81345,0.79602,0.87007,0.46982,2.95792,1.62476,3.2504,0.00100101,0.00100101,0.00100101
12,1382.45,2.96718,2.11211,3.13589,0.82353,0.81203,0.87265,0.48543,2.89742,1.56664,3.27357,0.000990012,0.000990012,0.000990012
13,1496.67,2.99514,2.11095,3.13867,0.79827,0.80335,0.8591,0.46207,2.97348,1.59286,3.27006,0.000979013,0.000979013,0.000979013
14,1610.16,2.94194,2.08811,3.10942,0.82721,0.771,0.85694,0.47692,2.87647,1.58612,3.22799,0.000968014,0.000968014,0.000968014
15,1723.63,2.91456,2.03538,3.08386,0.81594,0.8455,0.89476,0.49232,2.92638,1.46432,3.2229,0.000957015,0.000957015,0.000957015
16,1836.84,2.89699,2.01279,3.06663,0.84124,0.82677,0.89635,0.51172,2.81902,1.43383,3.14412,0.000946016,0.000946016,0.000946016
17,1950.29,2.87426,1.93076,3.0363,0.85449,0.84513,0.91242,0.52436,2.82105,1.38992,3.19101,0.000935018,0.000935018,0.000935018
18,2063.32,2.83901,1.91821,3.04924,0.84273,0.87392,0.91613,0.53172,2.78443,1.3674,3.14434,0.000924019,0.000924019,0.000924019
19,2176.64,2.84985,1.93147,3.03579,0.87399,0.84937,0.92099,0.53474,2.81159,1.35876,3.12299,0.00091302,0.00091302,0.00091302
20,2290.29,2.81989,1.86142,3.00966,0.88009,0.86112,0.92799,0.55423,2.69934,1.27624,3.10736,0.000902021,0.000902021,0.000902021
21,2403.82,2.7637,1.86298,3.00554,0.86759,0.85392,0.92074,0.54922,2.68582,1.28663,3.07636,0.000891022,0.000891022,0.000891022
22,2516.98,2.74319,1.78427,2.99011,0.88908,0.87205,0.93008,0.54717,2.72099,1.26863,3.11905,0.000880023,0.000880023,0.000880023
23,2630.88,2.75935,1.79386,2.97047,0.88746,0.8623,0.93717,0.57125,2.66547,1.24632,3.06102,0.000869024,0.000869024,0.000869024
24,2748.06,2.71333,1.76054,2.95802,0.8781,0.86752,0.93033,0.58048,2.58518,1.22114,3.00383,0.000858025,0.000858025,0.000858025
25,2902.27,2.66235,1.71733,2.92135,0.88441,0.8435,0.92838,0.58645,2.58817,1.24929,3.01882,0.000847026,0.000847026,0.000847026
