epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,228.471,3.37251,5.51363,3.56834,0.28024,0.36289,0.24749,0.10338,4.27184,5.76748,4.58497,0.000475134,0.000475134,0.000475134
2,433.563,3.68406,4.83257,3.79272,0.30137,0.29499,0.19986,0.08285,4.3007,5.41179,4.59834,0.000936749,0.000936749,0.000936749
3,687.593,3.64015,4.78813,3.75024,0.32441,0.39647,0.2799,0.12512,3.9601,5.61954,4.27439,0.00138363,0.00138363,0.00138363
4,796.69,3.51822,4.62928,3.63725,0.37218,0.4533,0.33009,0.15739,3.53427,5.46545,3.95411,0.00136269,0.00136269,0.00136269
5,909.242,3.41753,4.43917,3.56835,0.48571,0.45199,0.39571,0.18828,3.50908,4.63439,3.91121,0.00134058,0.00134058,0.00134058
6,1028.55,3.37077,4.20111,3.52099,0.44163,0.52611,0.42355,0.20952,3.45604,4.08917,3.85544,0.00131848,0.00131848,0.00131848
7,1160.66,3.3325,4.06133,3.4723,0.42427,0.53541,0.40556,0.19366,3.47918,4.17805,3.87544,0.00129637,0.00129637,0.00129637
8,1292,3.2631,3.84588,3.42621,0.50051,0.57566,0.48839,0.25786,3.25007,3.5548,3.66262,0.00127427,0.00127427,0.00127427
9,1421.04,3.22562,3.70806,3.36081,0.50358,0.56945,0.49108,0.25651,3.32911,3.63954,3.73585,0.00125216,0.00125216,0.00125216
10,1549.15,3.17017,3.65307,3.32824,0.48757,0.58917,0.48612,0.24583,3.25873,3.81198,3.63365,0.00123006,0.00123006,0.00123006
11,1670.56,3.14129,3.56702,3.3137,0.49999,0.62624,0.51229,0.27544,3.09805,3.44189,3.5271,0.00120795,0.00120795,0.00120795
12,1789.75,3.03241,3.32155,3.26306,0.50045,0.66135,0.54218,0.29339,3.10547,3.19795,3.57955,0.00118585,0.00118585,0.00118585
13,1910.17,3.07579,3.36463,3.28179,0.51717,0.67606,0.56233,0.30582,3.15029,3.15445,3.5527,0.00116374,0.00116374,0.00116374
14,2029.16,3.04134,3.27535,3.26344,0.51908,0.64559,0.56985,0.32051,3.08256,3.16948,3.52498,0.00114164,0.00114164,0.00114164
15,2147.58,3.0149,3.34903,3.22665,0.53281,0.65286,0.57222,0.32008,3.02067,3.24019,3.5235,0.00111953,0.00111953,0.00111953
16,2267.64,3.01301,3.21472,3.22388,0.55275,0.63457,0.58314,0.32897,2.96963,3.13998,3.50261,0.00109743,0.00109743,0.00109743
17,2402.12,2.94798,3.0821,3.1887,0.60395,0.65704,0.59999,0.3465,2.90985,3.01936,3.41301,0.00107532,0.00107532,0.00107532
18,2524.47,2.92356,3.06505,3.1482,0.57405,0.66393,0.59472,0.34112,2.91732,2.8423,3.37274,0.00105322,0.00105322,0.00105322
19,2647.91,2.91894,2.982,3.18639,0.57722,0.69301,0.6096,0.34973,2.85876,2.84923,3.35348,0.00103111,0.00103111,0.00103111
20,2772.52,2.89014,2.91468,3.12414,0.57101,0.7348,0.62543,0.35308,2.90876,2.90924,3.40462,0.00100901,0.00100901,0.00100901
21,2894.23,2.88145,2.95412,3.11777,0.54615,0.71367,0.60805,0.3539,2.90557,2.75632,3.33604,0.000986903,0.000986903,0.000986903
22,3015.77,2.86995,2.89226,3.11036,0.55385,0.71422,0.62108,0.3543,2.90462,2.90845,3.38102,0.000964798,0.000964798,0.000964798
23,3139.94,2.86742,2.88367,3.11835,0.55899,0.72006,0.62163,0.35346,2.90954,2.7504,3.3387,0.000942693,0.000942693,0.000942693
24,3266.03,2.81864,2.81757,3.09456,0.58447,0.69385,0.64191,0.37502,2.866,2.74803,3.332,0.000920589,0.000920589,0.000920589
25,3393.58,2.79715,2.86905,3.0837,0.53904,0.68388,0.59911,0.35132,2.88504,2.77065,3.34734,0.000898484,0.000898484,0.000898484
26,3519.54,2.8003,2.74424,3.05685,0.57569,0.71616,0.63815,0.37858,2.7682,2.74896,3.2437,0.000876379,0.000876379,0.000876379
27,3641.63,2.77877,2.81684,3.08783,0.59149,0.6945,0.65384,0.38281,2.85588,2.75849,3.34951,0.000854274,0.000854274,0.000854274
28,3763.9,2.79917,2.72604,3.04278,0.62444,0.7259,0.66404,0.38851,2.77999,2.74058,3.24407,0.000832169,0.000832169,0.000832169
29,3886.88,2.74279,2.66232,3.04255,0.61239,0.70201,0.67374,0.4071,2.7303,2.59682,3.24388,0.000810064,0.000810064,0.000810064
30,4012.57,2.71961,2.65599,3.00145,0.58374,0.76147,0.66616,0.38843,2.84056,2.56579,3.32582,0.00078796,0.00078796,0.00078796
