epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3148.15,1.25264,1.10456,1.42566,0.70766,0.85779,0.73701,0.41885,1.41798,1.07662,1.48565,0.000522701,0.000522701,0.000522701
43,3212,1.23529,1.08219,1.41822,0.69128,0.86851,0.73473,0.43472,1.36506,1.09533,1.48113,0.000500597,0.000500597,0.000500597
44,3275.79,1.23608,1.06763,1.4214,0.68247,0.86869,0.75213,0.43646,1.38152,1.0597,1.46078,0.000478492,0.000478492,0.000478492
45,3339.74,1.21758,1.0592,1.40454,0.70342,0.84243,0.7371,0.42581,1.42469,1.06099,1.47004,0.000456387,0.000456387,0.000456387
46,3403.73,1.20787,1.03556,1.39376,0.67292,0.89029,0.75261,0.44021,1.39325,1.04731,1.50554,0.000434282,0.000434282,0.000434282
47,3467.77,1.19495,1.04048,1.39663,0.69203,0.87377,0.75197,0.44586,1.35867,0.99242,1.45986,0.000412177,0.000412177,0.000412177
48,3531.5,1.19064,1.01886,1.39138,0.70852,0.87047,0.73643,0.43133,1.36152,1.05794,1.47477,0.000390072,0.000390072,0.000390072
49,3595.54,1.20628,1.04116,1.40438,0.68048,0.88806,0.76173,0.45604,1.355,1.04287,1.4813,0.000367967,0.000367967,0.000367967
50,3659.37,1.18349,1.01858,1.38721,0.69986,0.88971,0.75307,0.45429,1.33077,1.0762,1.46088,0.000345863,0.000345863,0.000345863
51,3725.6,1.16796,1.01984,1.37969,0.70789,0.88637,0.74436,0.44401,1.34365,1.05735,1.46792,0.000323758,0.000323758,0.000323758
52,3789.74,1.17892,1.00759,1.38877,0.708,0.88178,0.77519,0.46511,1.35924,0.98992,1.46435,0.000301653,0.000301653,0.000301653
53,3853.4,1.16125,0.99942,1.37354,0.7198,0.86953,0.75731,0.45414,1.32125,1.02508,1.442,0.000279548,0.000279548,0.000279548
54,3917.26,1.163,1.00007,1.37664,0.69526,0.87867,0.74367,0.45114,1.33039,1.02073,1.46107,0.000257443,0.000257443,0.000257443
55,3989.79,1.09627,0.84221,1.32949,0.68344,0.89754,0.73067,0.43966,1.33956,1.03456,1.46187,0.000235338,0.000235338,0.000235338
56,4051.35,1.08906,0.82556,1.32574,0.70559,0.90847,0.7703,0.46293,1.31913,1.02816,1.44051,0.000213234,0.000213234,0.000213234
57,4112.35,1.06238,0.80136,1.30626,0.70289,0.88927,0.7513,0.45886,1.33823,1.00594,1.46477,0.000191129,0.000191129,0.000191129
58,4173.28,1.06568,0.77386,1.30418,0.69875,0.87488,0.75163,0.45694,1.33102,0.96663,1.45568,0.000169024,0.000169024,0.000169024
59,4234.24,1.05689,0.78166,1.30591,0.69599,0.89346,0.74374,0.45446,1.30845,1.00559,1.42846,0.000146919,0.000146919,0.000146919
60,4294.61,1.03748,0.7637,1.2816,0.69582,0.89234,0.76453,0.46653,1.32302,0.99489,1.4429,0.000124814,0.000124814,0.000124814
61,4356.45,1.0397,0.75594,1.28093,0.70296,0.90989,0.7548,0.46076,1.32312,0.993,1.43857,0.000102709,0.000102709,0.000102709
62,4417.1,1.02445,0.75381,1.27335,0.70118,0.90505,0.76667,0.4715,1.30708,0.96258,1.42955,8.06045e-05,8.06045e-05,8.06045e-05
63,4478.32,1.02738,0.7517,1.28561,0.69152,0.89151,0.75895,0.47021,1.30701,0.96135,1.43159,5.84997e-05,5.84997e-05,5.84997e-05
64,4540.07,1.0283,0.75617,1.27402,0.70597,0.89566,0.76555,0.47326,1.29979,0.96925,1.42677,3.63948e-05,3.63948e-05,3.63948e-05
