epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.4009,1.31331,1.70176,1.4684,0.75328,0.80407,0.83074,0.53204,1.16663,0.95397,1.25001,0.000475134,0.000475134,0.000475134
2,148.472,1.22152,1.28561,1.4013,0.59136,0.79975,0.77479,0.45395,1.4145,1.19014,1.48986,0.000936749,0.000936749,0.000936749
3,212.342,1.20517,1.26173,1.38979,0.79847,0.75728,0.84845,0.5169,1.28311,1.28555,1.39003,0.00138363,0.00138363,0.00138363
4,275.667,1.1815,1.20024,1.36661,0.77953,0.82826,0.84277,0.50458,1.3058,1.04758,1.33938,0.00136269,0.00136269,0.00136269
5,341.037,1.10939,1.16445,1.32785,0.84441,0.82384,0.89717,0.60965,1.04621,0.9827,1.2125,0.00134058,0.00134058,0.00134058
6,405.439,1.07598,1.11134,1.30747,0.78131,0.85055,0.89571,0.60781,1.06938,0.81518,1.18583,0.00131848,0.00131848,0.00131848
7,469.727,1.06503,1.06987,1.29561,0.8793,0.85411,0.91672,0.61066,1.11305,0.83623,1.22802,0.00129637,0.00129637,0.00129637
8,534.11,1.06654,1.05162,1.30664,0.85979,0.87114,0.9088,0.62716,1.02401,0.72125,1.19698,0.00127427,0.00127427,0.00127427
9,600.293,1.03575,1.0136,1.27369,0.85491,0.88033,0.90783,0.5965,1.14575,0.81834,1.22498,0.00125216,0.00125216,0.00125216
10,668.552,1.00094,0.96787,1.25359,0.87043,0.87088,0.91931,0.61347,1.13855,0.73168,1.23958,0.00123006,0.00123006,0.00123006
11,737.229,0.98373,0.95423,1.24575,0.90668,0.88898,0.93934,0.65662,1.00053,0.6907,1.14965,0.00120795,0.00120795,0.00120795
12,805.789,0.97161,0.91287,1.23706,0.90948,0.88807,0.93989,0.65215,1.01729,0.64627,1.15593,0.00118585,0.00118585,0.00118585
13,872.685,0.97702,0.9222,1.23906,0.8995,0.91208,0.94333,0.69225,0.89667,0.63899,1.09368,0.00116374,0.00116374,0.00116374
14,937.533,0.94415,0.89702,1.22263,0.89335,0.87658,0.93734,0.66078,0.97267,0.70633,1.14138,0.00114164,0.00114164,0.00114164
15,1002.05,0.92852,0.88074,1.20996,0.92515,0.87816,0.94065,0.68723,0.90903,0.63185,1.11884,0.00111953,0.00111953,0.00111953
16,1067.21,0.92021,0.84054,1.20492,0.87798,0.9093,0.93452,0.70861,0.80148,0.61198,1.06399,0.00109743,0.00109743,0.00109743
17,1131.33,0.90933,0.85939,1.1961,0.90049,0.89949,0.95033,0.70553,0.86379,0.58886,1.08944,0.00107532,0.00107532,0.00107532
18,1195.6,0.90319,0.85522,1.20167,0.906,0.91366,0.9484,0.69796,0.88362,0.59052,1.08506,0.00105322,0.00105322,0.00105322
