epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,246.154,3.72322,6.47626,4.22695,0.2431,0.22136,0.14457,0.04888,4.28738,7.1534,4.85038,0.000475733,0.000475733,0.000475733
2,477.373,3.94858,6.08052,4.35588,0.3034,0.23725,0.15182,0.05496,4.4571,6.73326,5.14417,0.000942641,0.000942641,0.000942641
3,709.219,3.76082,5.94647,4.22895,0.25085,0.21849,0.16679,0.06792,4.20792,6.20849,4.85828,0.00140012,0.00140012,0.00140012
4,944.587,3.66452,5.82632,4.15582,0.26999,0.3557,0.22468,0.09521,3.74989,5.3308,4.32298,0.00138656,0.00138656,0.00138656
5,1221.73,3.53034,5.43412,4.05497,0.45809,0.39214,0.31044,0.13352,3.70482,5.12663,4.40415,0.00137241,0.00137241,0.00137241
6,1534.6,3.51698,5.51729,4.02019,0.33198,0.30276,0.24361,0.11097,3.68195,5.06789,4.32228,0.00135826,0.00135826,0.00135826
7,1830.31,3.43144,5.15923,3.92783,0.31492,0.42422,0.29502,0.13925,3.52742,4.8288,4.19463,0.00134412,0.00134412,0.00134412
8,2123.6,3.3684,5.06143,3.89518,0.35562,0.48334,0.34911,0.15438,3.59721,4.27072,4.20292,0.00132997,0.00132997,0.00132997
9,2377.35,3.31792,4.79831,3.85245,0.3706,0.46585,0.35503,0.16941,3.50793,4.26991,4.14149,0.00131582,0.00131582,0.00131582
10,2774.85,3.28289,4.68111,3.84533,0.36131,0.50477,0.37988,0.15999,3.83035,4.18077,4.43679,0.00130168,0.00130168,0.00130168
11,3081.17,3.24661,4.63271,3.78607,0.39429,0.49885,0.39351,0.16775,3.66066,4.11551,4.28069,0.00128753,0.00128753,0.00128753
12,3276.86,3.23445,4.54881,3.77855,0.44374,0.53258,0.45491,0.20114,3.58757,4.01558,4.20364,0.00127338,0.00127338,0.00127338
13,3479.43,3.22696,4.35256,3.75426,0.44311,0.54698,0.43718,0.19801,3.58159,3.87381,4.18753,0.00125923,0.00125923,0.00125923
14,3677.71,3.16058,4.24271,3.7243,0.50247,0.56061,0.50156,0.23259,3.58389,3.71566,4.17272,0.00124509,0.00124509,0.00124509
15,3873.43,3.24904,4.35885,3.73996,0.45689,0.58075,0.43966,0.18833,3.76942,3.84109,4.3494,0.00123094,0.00123094,0.00123094
16,4069.33,3.1601,4.12558,3.66859,0.52916,0.56136,0.52919,0.23242,3.64159,3.44743,4.21587,0.00121679,0.00121679,0.00121679
17,4264.87,3.1735,4.09773,3.69528,0.49447,0.57767,0.50293,0.23787,3.37626,3.88818,4.03698,0.00120265,0.00120265,0.00120265
18,4460.29,3.14294,4.15529,3.68391,0.46629,0.5863,0.50037,0.22306,3.61881,3.37762,4.14282,0.0011885,0.0011885,0.0011885
19,4656.04,3.11038,3.96699,3.65266,0.48555,0.59711,0.50466,0.24182,3.48696,3.36007,4.0538,0.00117435,0.00117435,0.00117435
20,4852.02,3.08672,3.95752,3.66177,0.54298,0.57643,0.54572,0.24962,3.5609,3.3712,4.12361,0.00116021,0.00116021,0.00116021
21,5048.19,3.10715,3.93568,3.65606,0.49261,0.60273,0.52558,0.24697,3.59216,3.26411,4.17642,0.00114606,0.00114606,0.00114606
22,5243.13,3.05623,4.0542,3.61625,0.4793,0.6267,0.52106,0.25006,3.42645,3.56971,4.05414,0.00113191,0.00113191,0.00113191
23,5438.19,3.02247,3.79405,3.59516,0.4673,0.66262,0.53479,0.24589,3.48525,3.48466,4.15534,0.00111776,0.00111776,0.00111776
24,5634.82,3.08627,3.84501,3.6854,0.51872,0.61009,0.51685,0.24628,3.42577,3.2679,4.09221,0.00110362,0.00110362,0.00110362
25,5831.1,3.03826,3.81163,3.60607,0.52644,0.62024,0.55771,0.27056,3.3678,3.11481,3.98855,0.00108947,0.00108947,0.00108947
26,6028.12,3.02188,3.72556,3.58383,0.5449,0.6204,0.56131,0.27024,3.50808,3.10271,4.13667,0.00107532,0.00107532,0.00107532
27,6224.27,2.98355,3.60322,3.57997,0.52398,0.59695,0.55127,0.26724,3.34853,3.15447,3.99623,0.00106118,0.00106118,0.00106118
28,6448.18,3.01521,3.57893,3.55615,0.559,0.61343,0.56824,0.26727,3.41015,3.18005,4.04061,0.00104703,0.00104703,0.00104703
29,6744.29,2.99049,3.62364,3.54474,0.54052,0.69062,0.59387,0.28969,3.43394,2.91567,4.05366,0.00103288,0.00103288,0.00103288
30,7018.53,2.97301,3.52599,3.50686,0.58564,0.64708,0.61671,0.28742,3.49426,2.90102,4.09109,0.00101873,0.00101873,0.00101873
31,7316.47,2.94811,3.56325,3.54419,0.56401,0.64754,0.60262,0.28109,3.46784,3.00724,4.1488,0.00100459,0.00100459,0.00100459
32,7614.97,2.96555,3.58083,3.54352,0.5788,0.65165,0.60441,0.28965,3.41102,3.02333,4.01279,0.00099044,0.00099044,0.00099044
33,7888.36,2.95022,3.55114,3.53228,0.53458,0.60807,0.56149,0.26825,3.44539,3.08336,4.02248,0.000976293,0.000976293,0.000976293
34,8182.59,2.95017,3.53971,3.52998,0.61083,0.61063,0.62137,0.30854,3.35322,2.91764,3.9713,0.000962146,0.000962146,0.000962146
35,8478.54,2.90227,3.51056,3.49138,0.54194,0.64567,0.61109,0.31114,3.28599,2.84428,3.97381,0.000947999,0.000947999,0.000947999
36,8804.09,2.91414,3.45756,3.52245,0.5598,0.6281,0.62299,0.31576,3.30293,2.76597,3.95453,0.000933851,0.000933851,0.000933851
37,8995.6,2.88895,3.43445,3.48586,0.58586,0.66629,0.62205,0.29906,3.35497,3.02824,3.95388,0.000919704,0.000919704,0.000919704
38,9266.77,2.90412,3.49093,3.46603,0.57659,0.63308,0.62068,0.29734,3.4611,2.81584,4.06427,0.000905557,0.000905557,0.000905557
39,9460.07,2.88987,3.30371,3.45667,0.54946,0.66343,0.60925,0.27929,3.48362,2.85099,4.1265,0.00089141,0.00089141,0.00089141
40,9656.37,2.89238,3.39091,3.47871,0.54744,0.66828,0.59942,0.29602,3.34423,2.85322,3.9778,0.000877263,0.000877263,0.000877263
41,9856.61,2.87015,3.34156,3.46975,0.57246,0.66322,0.6326,0.2915,3.53834,2.76076,4.14416,0.000863116,0.000863116,0.000863116
42,10052.3,2.84662,3.2646,3.45528,0.59608,0.69073,0.60347,0.29047,3.4064,2.75616,3.98953,0.000848969,0.000848969,0.000848969
43,10251.4,2.8664,3.22163,3.46398,0.60633,0.68067,0.64778,0.33157,3.28346,2.60707,3.95951,0.000834822,0.000834822,0.000834822
44,10449.8,2.82998,3.26966,3.42542,0.60336,0.67826,0.64237,0.32287,3.2963,2.73257,3.93866,0.000820675,0.000820675,0.000820675
