epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.32,3.24226,3.63997,3.37709,0.60312,0.60584,0.60506,0.2583,3.55385,3.01026,3.79471,0.00036934,0.00036934,0.00036934
2,321.544,3.41101,3.15271,3.44529,0.60446,0.6534,0.65623,0.29183,3.43305,2.90398,3.75617,0.00071679,0.00071679,0.00071679
3,484.236,3.36427,2.99676,3.42766,0.67401,0.68537,0.70035,0.33419,3.23155,2.6612,3.53395,0.00104133,0.00104133,0.00104133
4,640.022,3.35004,2.94045,3.39815,0.65771,0.68605,0.73575,0.34442,3.41035,2.42694,3.59233,0.00100789,0.00100789,0.00100789
5,791.234,3.27102,2.78858,3.34768,0.72706,0.74987,0.78154,0.39058,3.1622,1.97888,3.46067,0.000973514,0.000973514,0.000973514
6,953.041,3.20618,2.57171,3.30703,0.74454,0.76326,0.80523,0.39949,3.13054,1.99771,3.38854,0.000939142,0.000939142,0.000939142
7,1109.28,3.14784,2.49838,3.2551,0.75055,0.79012,0.82611,0.42562,3.07059,1.98101,3.39735,0.000904771,0.000904771,0.000904771
8,1270.47,3.08338,2.37354,3.19108,0.79086,0.79394,0.85851,0.44563,3.05224,1.72312,3.29818,0.000870399,0.000870399,0.000870399
9,1413.06,3.05881,2.28736,3.18804,0.83352,0.79505,0.86477,0.46503,2.94891,1.66125,3.24664,0.000836027,0.000836027,0.000836027
10,1560.56,3.07136,2.22421,3.16484,0.79396,0.85355,0.88062,0.4757,2.93828,1.62678,3.23524,0.000801656,0.000801656,0.000801656
11,1712.81,2.95696,2.12702,3.11421,0.80116,0.83839,0.88835,0.49121,2.87466,1.49786,3.19401,0.000767284,0.000767284,0.000767284
12,1864.48,2.89582,2.00705,3.06931,0.84691,0.83219,0.90261,0.5079,2.84201,1.46542,3.17162,0.000732913,0.000732913,0.000732913
13,2099.17,2.90925,2.01296,3.05756,0.83236,0.84173,0.89173,0.49991,2.79425,1.42697,3.14956,0.000698541,0.000698541,0.000698541
14,2199.68,2.83596,1.94863,3.02943,0.82939,0.86836,0.90776,0.52219,2.80722,1.4016,3.1594,0.00066417,0.00066417,0.00066417
15,2303.48,2.81272,1.87837,2.99677,0.8554,0.85374,0.90909,0.51143,2.83538,1.36184,3.1656,0.000629798,0.000629798,0.000629798
16,2409.37,2.7775,1.86726,2.97891,0.86426,0.85261,0.92175,0.53813,2.7366,1.31708,3.09722,0.000595427,0.000595427,0.000595427
17,2515.63,2.76998,1.79294,2.95783,0.87457,0.86889,0.92622,0.54199,2.7751,1.28741,3.16419,0.000561055,0.000561055,0.000561055
18,2622.76,2.71872,1.77122,2.96034,0.89052,0.89245,0.94176,0.56684,2.66238,1.20583,3.05519,0.000526683,0.000526683,0.000526683
19,2730.19,2.71473,1.74018,2.93353,0.88867,0.87544,0.93579,0.56894,2.67569,1.21326,3.0471,0.000492312,0.000492312,0.000492312
20,2837.55,2.66093,1.66437,2.89344,0.89237,0.88271,0.94214,0.58905,2.58055,1.17475,2.99048,0.00045794,0.00045794,0.00045794
21,2944.99,2.61188,1.64838,2.8828,0.88275,0.90261,0.94796,0.59318,2.57387,1.12795,2.96647,0.000423569,0.000423569,0.000423569
22,3052.41,2.56675,1.59752,2.86812,0.89425,0.91078,0.95123,0.5948,2.59873,1.11791,3.00453,0.000389197,0.000389197,0.000389197
23,3169.79,2.46679,1.27913,2.88147,0.91007,0.9071,0.95826,0.6225,2.49208,1.04639,2.91,0.000354826,0.000354826,0.000354826
24,3276.86,2.41594,1.187,2.82562,0.88052,0.91661,0.95415,0.62398,2.45193,1.06444,2.90661,0.000320454,0.000320454,0.000320454
25,3384.05,2.32813,1.15317,2.78187,0.89041,0.91178,0.95248,0.63859,2.39381,1.04902,2.87994,0.000286083,0.000286083,0.000286083
26,3491.9,2.27807,1.11299,2.74797,0.90843,0.90722,0.95611,0.64759,2.32949,1.02318,2.84289,0.000251711,0.000251711,0.000251711
27,3600.24,2.18853,1.06361,2.66414,0.91127,0.90493,0.95789,0.65533,2.30632,1.0058,2.81543,0.000217339,0.000217339,0.000217339
28,3708.11,2.14892,1.041,2.66214,0.91822,0.92069,0.96306,0.66276,2.30252,0.98082,2.77788,0.000182968,0.000182968,0.000182968
29,3816.15,2.11142,1.00748,2.62752,0.90969,0.92116,0.96236,0.67503,2.25344,0.96144,2.77274,0.000148596,0.000148596,0.000148596
30,3924.11,2.02598,0.97386,2.57646,0.92363,0.91759,0.96067,0.68286,2.18531,0.93985,2.74972,0.000114225,0.000114225,0.000114225
31,4031.92,1.98085,0.95055,2.5459,0.91642,0.92404,0.96489,0.68716,2.19598,0.92933,2.73487,7.98531e-05,7.98531e-05,7.98531e-05
32,4140.17,1.96506,0.93578,2.52261,0.92535,0.91347,0.96489,0.69518,2.14715,0.91477,2.70585,4.54816e-05,4.54816e-05,4.54816e-05
