epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.8839,1.28421,1.62636,1.45392,0.72873,0.76979,0.77008,0.44424,1.48749,1.25134,1.58984,0.00047394,0.00047394,0.00047394
2,165.493,1.18068,1.18743,1.3438,0.75392,0.76549,0.80307,0.47757,1.36058,1.29464,1.443,0.000940865,0.000940865,0.000940865
3,229.423,1.15612,1.15602,1.3375,0.81673,0.82989,0.88263,0.56923,1.17953,0.93621,1.31406,0.00139836,0.00139836,0.00139836
4,278.65,1.12703,1.09491,1.31379,0.73708,0.80185,0.83247,0.52842,1.14937,0.98879,1.3019,0.00138656,0.00138656,0.00138656
5,325.594,1.07887,1.03345,1.29382,0.84281,0.81723,0.88032,0.6278,0.96714,0.91079,1.1808,0.00137241,0.00137241,0.00137241
